,Time,Sha,User,Message
179,1455219576.0,a330612bd33aa925ca616950916cae00400e215a,Person 1,Update README.md
180,1455219500.0,cb22988ece7914e910827ab0282faac2155c7969,Person 1,Update README.md
181,1455204430.0,2739723369bb7df24b2a2b08d8b79e351800cd70,Person 4,"Update README.md

Add repo details, links etc."
182,1455204222.0,365adbbca71337fc0d7af02b799756abd3c1ca0c,Person 4,Update README.md
183,1455168719.0,8ac236f7843844e66151944e841593a6d36667ee,Person 2,added a database connection module
184,1455153303.0,c3a895ddee8da7af8459643579afaafb44108883,Person 1,Update README.md
185,1455153274.0,d610cb26c52ddc0595d3d4ccc3e551429ec54809,Person 1,Update README.md
186,1455153252.0,914b7f6e21147f3d1a4f4fd6b6248c5627c0182e,Person 1,Update README.md
187,1455129894.0,b8acaa7ff50790488226551a302a8342d1a5ec47,Person 3,Update README.md
188,1454291136.0,b0f4c0a30f294bec23782a924b53255278dc3228,Person 1,"Merge pull request #2 from jordy-jose/Proposal

Feb 1 deliverable - Proposal document"
189,1454290580.0,97c3bf30badf5ea8fe2ed2369271caa32f7c1b27,Person 1,"Feb 1 deliverable - Proposal document

Proposal for a software tool to make the current my pack portal more
efficient in order to keep track of the student’s academic progress
towards graduation"
190,1453225963.0,f505763e93bbe54356d2582881e272c3d701fa9c,Person 2,modified problems identified
191,1452551831.0,cde144437b4ff136d05e2ea6615355c8a9786963,Person 2,added a brief description of problems identified so far
192,1452293485.0,61c7f140ca7db05c29edb7896a2d041cc1783849,Person 2,"Merge pull request #1 from jordy-jose/master

Added a docx file, members will work on this file to create the FEB 1…"
193,1452292435.0,c13b12426598475e16454abfe1b8f3e7e8d9535a,Person 2,"Added a docx file, members will work on this file to create the FEB 1 deliverables"
194,1452288410.0,603b62237ecc62784bd371f4b671f37e06f7c555,Person 2,Initial commit
